City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,st. john's,47.5649,-52.7093,2.76,94,100,8.49,CA,1714866790
110,avarua,-21.2078,-159.775,29.03,79,75,3.6,CK,1714866976
111,arauca,7.0847,-70.7591,29.98,70,75,2.06,CO,1714866976
112,banamba,13.55,-7.45,29.8,15,1,0.53,ML,1714866976
113,caleta de carquin,-11.0925,-77.6267,19.94,87,63,3.1,PE,1714866976
114,wabag,-5.4781,143.7021,17.26,93,100,1.09,PG,1714866977
115,punta del este,-34.9667,-54.95,18.06,89,75,2.57,UY,1714866977
116,thompson,55.7435,-97.8558,6.09,81,75,4.63,CA,1714866977
117,shengli,37.4564,118.4856,13.83,69,100,2.23,CN,1714866977
118,sijunjung,-0.6876,100.9537,23.47,98,100,0.31,ID,1714866977
119,wakkanai,45.4094,141.6739,7.99,71,75,8.75,JP,1714866978
120,east london,-33.0153,27.9116,20.51,81,82,5.83,ZA,1714866932
121,ust-tsilma,65.441,52.1498,-10.77,98,99,0.89,RU,1714866978
122,zhangzhou,24.5133,117.6556,21.96,97,100,0.3,CN,1714866978
123,la passe,45.5549,-0.8967,14.13,97,76,3.33,FR,1714866791
124,ad dilam,23.9915,47.1627,26.23,28,0,4.11,SA,1714866979
125,likasi,-10.9814,26.7333,14.83,80,45,1.36,CD,1714866979
126,margaret river,-33.95,115.0667,15.83,77,82,4.45,AU,1714866753
127,aasiaat,68.7098,-52.8699,-13.12,91,28,2.56,GL,1714866979
128,aflou,34.1128,2.1023,16.98,24,11,2.0,DZ,1714866979
129,iqaluit,63.7506,-68.5145,-4.15,80,100,4.63,CA,1714866767
130,cambria,35.5641,-121.0808,14.32,87,100,6.19,US,1714866980
131,kupang,-10.1667,123.5833,30.32,84,20,3.09,ID,1714866980
132,thaba-tseka,-29.522,28.6084,8.34,52,0,2.09,LS,1714866980
133,enewetak,11.3474,162.3373,27.69,77,74,7.67,MH,1714866981
134,tura,25.5198,90.2201,22.79,74,78,2.48,IN,1714866823
135,nadym,65.5333,72.5167,-3.91,80,100,8.86,RU,1714866981
136,khandyga,62.6667,135.6,1.58,97,100,0.7,RU,1714866981
137,mil'kovo,55.6078,37.7956,8.52,89,100,5.68,RU,1714866981
138,papatowai,-46.5619,169.4708,11.03,69,68,5.08,NZ,1714866759
139,soroca,48.1558,28.2975,5.78,59,10,1.49,MD,1714866982
